empresa,cnpj,obrigação / tarefa,departamento,responsável prazo,responsável entrega,competência,vencimento,data entrega,status,protocolo
Alpha Ltda,00.000.000/0001-00,ECF,Contábil,Carla,Carla,2025-07-01,2025-07-24,2025-07-29,Concluída,P-1000
Alpha Ltda,00.000.000/0001-00,Folha,Contábil,Carla,Carla,2025-07-01,2025-07-13,2025-07-15,Concluída,P-1001
Alpha Ltda,00.000.000/0001-00,ECF,Fiscal,Ana,Ana,2025-07-01,2025-07-11,,Pendente,P-1002
Alpha Ltda,00.000.000/0001-00,DCTFWeb,Contábil,Ana,Ana,2025-07-01,2025-07-26,2025-07-24,Concluída,P-1003
Gama Contábil,00.000.000/0001-00,ISS,Fiscal,Bruno,Bruno,2025-07-01,2025-07-19,2025-07-20,Concluída,P-1004
Alpha Ltda,00.000.000/0001-00,DCTFWeb,Fiscal,Bruno,Bruno,2025-07-01,2025-07-21,2025-07-26,Concluída,P-1005
Gama Contábil,00.000.000/0001-00,ISS,Contábil,Ana,Ana,2025-07-01,2025-07-05,2025-07-06,Concluída,P-1006
Beta Serviços,00.000.000/0001-00,ECF,Contábil,Ana,Ana,2025-07-01,2025-07-06,2025-07-09,Concluída,P-1007
Beta Serviços,00.000.000/0001-00,Folha,Contábil,Bruno,Bruno,2025-07-01,2025-07-24,2025-07-27,Concluída,P-1008
Gama Contábil,00.000.000/0001-00,ECF,Fiscal,Ana,Ana,2025-07-01,2025-07-14,2025-07-15,Concluída,P-1009
Gama Contábil,00.000.000/0001-00,ISS,Pessoal,Ana,Ana,2025-07-01,2025-07-26,,Pendente,P-1010
Alpha Ltda,00.000.000/0001-00,Folha,Fiscal,Ana,Ana,2025-07-01,2025-07-27,,Pendente,P-1011
Beta Serviços,00.000.000/0001-00,ISS,Pessoal,Bruno,Bruno,2025-07-01,2025-07-17,2025-07-23,Concluída,P-1012
Gama Contábil,00.000.000/0001-00,ISS,Pessoal,Bruno,Bruno,2025-07-01,2025-07-12,2025-07-15,Concluída,P-1013
Alpha Ltda,00.000.000/0001-00,EFD-Reinf,Fiscal,Bruno,Bruno,2025-07-01,2025-07-05,2025-07-09,Concluída,P-1014
Gama Contábil,00.000.000/0001-00,DCTFWeb,Fiscal,Carla,Carla,2025-07-01,2025-07-07,2025-07-09,Concluída,P-1015
Beta Serviços,00.000.000/0001-00,Folha,Contábil,Carla,Carla,2025-07-01,2025-07-22,2025-07-21,Concluída,P-1016
Gama Contábil,00.000.000/0001-00,DCTFWeb,Fiscal,Bruno,Bruno,2025-07-01,2025-07-27,2025-08-01,Concluída,P-1017
